run,epsilon,gamma,round,accuracy,detection_accuracy
1,1,0.006,11,0.8809,1.0
1,1,0.006,12,0.8842,1.0
1,1,0.006,13,0.8501,1.0
1,1,0.006,14,0.8787,0.8
2,1,0.006,1,0.0787,0.8
2,1,0.006,2,0.3528,1.0
2,1,0.006,3,0.4727,0.8
2,1,0.006,4,0.6052,0.6
2,1,0.006,5,0.6162,0.8
2,1,0.006,6,0.7836,1.0
2,1,0.006,7,0.7467,0.8
2,1,0.006,8,0.798,1.0
2,1,0.006,9,0.8339,1.0
2,1,0.006,10,0.8669,1.0
2,1,0.006,11,0.8578,0.8
2,1,0.006,12,0.8618,1.0
2,1,0.006,13,0.8766,1.0
2,1,0.006,14,0.8752,0.8
3,1,0.006,1,0.1052,1.0
3,1,0.006,2,0.1109,1.0
3,1,0.006,3,0.6169,0.8
3,1,0.006,4,0.7358,0.8
3,1,0.006,5,0.859,1.0
3,1,0.006,6,0.8642,0.8
3,1,0.006,7,0.8452,1.0
3,1,0.006,8,0.8657,0.8
3,1,0.006,9,0.8558,1.0
3,1,0.006,10,0.8155,0.8
3,1,0.006,11,0.8557,1.0
3,1,0.006,12,0.7819,0.8
3,1,0.006,13,0.8107,1.0
3,1,0.006,14,0.8356,0.8
4,1,0.006,1,0.1041,1.0
4,1,0.006,2,0.307,0.8
4,1,0.006,3,0.5467,0.8
4,1,0.006,4,0.7923,0.8
4,1,0.006,5,0.7986,0.6
4,1,0.006,6,0.8126,1.0
4,1,0.006,7,0.8469,1.0
4,1,0.006,8,0.8417,0.8
4,1,0.006,9,0.8287,1.0
4,1,0.006,10,0.8529,0.8
4,1,0.006,11,0.8741,0.6
4,1,0.006,12,0.8367,1.0
4,1,0.006,13,0.8876,1.0
4,1,0.006,14,0.8706,0.6
5,1,0.006,1,0.0914,1.0
5,1,0.006,2,0.1986,1.0
5,1,0.006,3,0.6286,0.8
5,1,0.006,4,0.5665,0.8
5,1,0.006,5,0.8246,1.0
5,1,0.006,6,0.7568,0.8
5,1,0.006,7,0.8296,1.0
5,1,0.006,8,0.8495,0.8
5,1,0.006,9,0.7955,0.8
5,1,0.006,10,0.7982,0.8
5,1,0.006,11,0.8501,0.8
5,1,0.006,12,0.8445,1.0
5,1,0.006,13,0.8453,1.0
5,1,0.006,14,0.8315,0.6
1,2,0,1,0.1344,0.0
1,2,0,2,0.4479,0.0
1,2,0,3,0.666,0.0
1,2,0,4,0.7119,0.0
1,2,0,5,0.7259,0.6
1,2,0,6,0.7292,0.2
1,2,0,7,0.8042,0.4
1,2,0,8,0.8164,0.2
1,2,0,9,0.8219,0.4
1,2,0,10,0.8282,0.0
1,2,0,11,0.8246,0.2
1,2,0,12,0.8294,0.2
1,2,0,13,0.8393,0.2
1,2,0,14,0.8426,0.2
2,2,0,1,0.1019,0.0
2,2,0,2,0.433,0.2
2,2,0,3,0.7728,0.0
2,2,0,4,0.8796,0.2
2,2,0,5,0.877,0.0
2,2,0,6,0.8968,0.0
2,2,0,7,0.9062,0.2
2,2,0,8,0.9123,0.2
2,2,0,9,0.9162,0.0
2,2,0,10,0.9187,0.2
2,2,0,11,0.9132,0.2
2,2,0,12,0.9267,0.2
2,2,0,13,0.931,0.0
2,2,0,14,0.9294,0.0
3,2,0,1,0.102,0.2
3,2,0,2,0.6152,0.4
3,2,0,3,0.6988,0.4
3,2,0,4,0.8576,0.2
3,2,0,5,0.8973,0.4
3,2,0,6,0.8954,0.2
3,2,0,7,0.9026,0.0
3,2,0,8,0.9145,0.2
3,2,0,9,0.9195,0.4
3,2,0,10,0.9184,0.2
3,2,0,11,0.9177,0.2
3,2,0,12,0.9206,0.0
3,2,0,13,0.9315,0.0
3,2,0,14,0.9292,0.0
4,2,0,1,0.1035,0.2
4,2,0,2,0.3802,0.4
4,2,0,3,0.5354,0.2
4,2,0,4,0.7391,0.0
4,2,0,5,0.7856,0.2
4,2,0,6,0.8023,0.0
4,2,0,7,0.8307,0.0
4,2,0,8,0.8906,0.2
4,2,0,9,0.9093,0.0
4,2,0,10,0.9176,0.0
4,2,0,11,0.9221,0.2
4,2,0,12,0.9275,0.2
4,2,0,13,0.929,0.2
4,2,0,14,0.926,0.0
5,2,0,1,0.0934,0.2
5,2,0,2,0.3501,0.0
5,2,0,3,0.6965,0.2
5,2,0,4,0.7741,0.0
5,2,0,5,0.8813,0.0
5,2,0,6,0.9007,0.4
5,2,0,7,0.8974,0.2
5,2,0,8,0.9083,0.0
5,2,0,9,0.9134,0.4
5,2,0,10,0.9201,0.2
5,2,0,11,0.9227,0.2
5,2,0,12,0.926,0.0
5,2,0,13,0.9379,0.0
5,2,0,14,0.9373,0.2
1,2,0.002,1,0.0889,0.4
