run,epsilon,gamma,round,accuracy,detection_accuracy
3,8,0.006,15,0.8313,1.0
3,8,0.006,16,0.837,1.0
3,8,0.006,17,0.8369,0.8
3,8,0.006,18,0.8371,1.0
3,8,0.006,19,0.8411,1.0
3,8,0.006,20,0.843,1.0
3,8,0.006,21,0.8425,1.0
3,8,0.006,22,0.8435,1.0
3,8,0.006,23,0.8469,1.0
3,8,0.006,24,0.847,1.0
3,8,0.006,25,0.8491,1.0
3,8,0.006,26,0.8486,1.0
3,8,0.006,27,0.8484,1.0
3,8,0.006,28,0.847,0.8
3,8,0.006,29,0.8511,1.0
3,8,0.006,30,0.8495,0.8
3,8,0.006,31,0.85,1.0
3,8,0.006,32,0.8516,1.0
3,8,0.006,33,0.8533,0.8
4,8,0.006,1,0.1027,1.0
4,8,0.006,2,0.523,1.0
4,8,0.006,3,0.85,0.8
4,8,0.006,4,0.8933,1.0
4,8,0.006,5,0.9113,1.0
4,8,0.006,6,0.916,0.8
4,8,0.006,7,0.9209,0.6
4,8,0.006,8,0.9225,0.8
4,8,0.006,9,0.925,0.8
4,8,0.006,10,0.9336,1.0
4,8,0.006,11,0.9328,1.0
4,8,0.006,12,0.9372,0.8
4,8,0.006,13,0.9404,0.8
4,8,0.006,14,0.9435,0.8
4,8,0.006,15,0.9454,1.0
4,8,0.006,16,0.9479,0.8
4,8,0.006,17,0.9511,1.0
4,8,0.006,18,0.9528,1.0
4,8,0.006,19,0.9537,1.0
4,8,0.006,20,0.9539,0.6
4,8,0.006,21,0.9553,1.0
4,8,0.006,22,0.9567,1.0
4,8,0.006,23,0.9583,1.0
4,8,0.006,24,0.9592,1.0
4,8,0.006,25,0.9603,0.8
4,8,0.006,26,0.9614,1.0
4,8,0.006,27,0.9616,1.0
4,8,0.006,28,0.9593,1.0
4,8,0.006,29,0.962,0.8
4,8,0.006,30,0.9633,1.0
4,8,0.006,31,0.9634,1.0
4,8,0.006,32,0.9623,0.8
4,8,0.006,33,0.964,0.8
5,8,0.006,1,0.0655,1.0
5,8,0.006,2,0.6359,0.8
5,8,0.006,3,0.7239,0.8
5,8,0.006,4,0.7445,1.0
5,8,0.006,5,0.8177,0.8
5,8,0.006,6,0.8247,0.8
5,8,0.006,7,0.8304,1.0
5,8,0.006,8,0.8339,1.0
5,8,0.006,9,0.8398,0.8
5,8,0.006,10,0.842,1.0
5,8,0.006,11,0.8426,1.0
5,8,0.006,12,0.8445,1.0
5,8,0.006,13,0.8476,0.8
5,8,0.006,14,0.8472,1.0
5,8,0.006,15,0.8516,1.0
5,8,0.006,16,0.8527,0.8
5,8,0.006,17,0.8555,1.0
5,8,0.006,18,0.854,0.8
5,8,0.006,19,0.8564,1.0
5,8,0.006,20,0.8586,1.0
5,8,0.006,21,0.86,0.4
5,8,0.006,22,0.8591,1.0
5,8,0.006,23,0.8597,0.8
5,8,0.006,24,0.8654,0.8
5,8,0.006,25,0.8668,0.8
5,8,0.006,26,0.864,1.0
5,8,0.006,27,0.8677,0.8
5,8,0.006,28,0.8695,0.8
5,8,0.006,29,0.8678,1.0
5,8,0.006,30,0.869,1.0
5,8,0.006,31,0.8693,0.8
5,8,0.006,32,0.8699,1.0
5,8,0.006,33,0.8714,0.8
